2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        6    0.000    0.000    0.000    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.000    0.000 locks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:449(polyfit)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1(<module>)
     2994    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1728    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       24    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
      311    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
        3    0.000    0.000    0.000    0.000 enum.py:838(_create_)
      219    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      186    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      880    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     2480    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       21    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
      323    0.000    0.000    0.000    0.000 enum.py:825(__setattr__)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
      219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      880    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      770    0.000    0.000    0.000    0.000 _parser.py:260(get)
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
       53    0.000    0.000    0.000    0.000 typing.py:395(_flatten_literal_params)
      537    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
      600    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      106    0.000    0.000    0.000    0.000 __init__.py:164(match)
      740    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      231    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
      243    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
     2761    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      217    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
  552/466    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
        1    0.000    0.000    0.000    0.000 timeouts.py:26(Timeout)
       37    0.000    0.000    0.000    0.000 getlimits.py:112(_float_to_str)
